Species,Sambaquis,Colonial,Present,All_periods
Genypterus_blacodes,0,0,1,0
Genypterus_brasiliensis,0,0,1,0
Genypterus_sp.,0,0,1,0
Gerres_cinereus,1,0,0,0
Gerres_sp.,0,0,1,0
Ginglymostoma_cirratum,1,1,0,0
Gobioides_broussonnetii,0,1,0,0
Gymnothorax_moringa,0,1,1,0
Gymnothorax_sp.,0,1,1,0
Gymnura_altavela,1,0,1,0
Gymnura_sp.,0,1,0,0
Haemulon_aurolineatum,1,0,1,0
Haemulon_flavolineatum,0,0,1,0
Haemulon_plumierii,1,0,0,0
Haemulon_sciurus,1,0,0,0
Haemulon_sp.,1,1,1,1
Haemulon_atlanticus,1,0,1,0
Harengula_clupeola,0,0,1,0
Harengula_jaguana,0,0,1,0
Helicolenus_dactylopterus,0,0,1,0
Helicolenus_lahillei,0,0,1,0
Hemicaranx_amblyrhynchus,0,0,1,0
Hemiramphus_balao,0,0,1,0
Hemiramphus_brasiliensis,0,0,1,0
Hemiramphus_sp.,1,0,1,0
Hexanchus_griseus,0,0,1,0
Hirundichthys_affinis,0,0,1,0
Holocentrus_adscensionis,1,1,1,1
Holocentrus_rufus,0,0,1,0
Hypanus_americanus,1,0,0,0
Hypanus_guttatus,1,1,1,1
Hypanus_say,0,0,1,0
Hyperoglyphe_macrophthalma,0,0,1,0
Hyporhamphus_sp.,0,0,1,0
Hyporhamphus_unifasciatus,1,0,0,0
Hyporthodus_flavolimbatus,0,0,1,0
Hyporthodus_nigritus,0,0,1,0
Hyporthodus_niveatus,1,0,1,0
Isopisthus_parvipinnis,1,0,1,0
Isopisthus_sp.,1,0,0,0
Istiophorus_albicans,1,1,1,1
Istiophorus_platypterus,0,0,1,0
Isurus_oxyrinchus,1,0,1,0
Isurus_paucus,1,0,0,0
Kajikia_albida,0,0,1,0
Kajikia_audax,0,0,1,0
Katsuwonus_pelamis,1,1,1,1
Kyphosus_incisor,0,0,1,0
Kyphosus_sectatrix,1,0,0,0
Lactophrys_trigonus,0,1,0,0
Lagocephalus_laevigatus,1,1,1,1
Lagocephalus_sp.,0,1,0,0
Lamna_nasus,1,0,1,0
Lampris_guttatus,0,0,1,0
Larimus_breviceps,1,0,1,0
Lepidocybium_flavobrunneum,0,0,1,0
Lobotes_surinamensis,1,1,1,1
Lophius_gastrophysus,0,0,1,0
Lopholatilus_villarii,0,0,1,0
Lutjanus_analis,1,0,1,0
Lutjanus_apodus,0,0,1,0
Lutjanus_cyanopterus,0,0,1,0
Lutjanus_griseus,1,1,0,0
Lutjanus_jocu,0,0,1,0
Lutjanus_purpureus,1,1,0,0
Lutjanus_sp.,1,1,1,1
Lutjanus_synagris,1,0,1,0
Lycengraulis_grossidens,0,0,1,0
Macrodon_atricauda,1,0,1,0
Macrodon_sp.,1,0,1,0
Macruronus_novazelandiae,0,0,1,0
Makaira_nigricans,0,0,1,0
Masturus_lanceolatus,0,0,1,0
Megalops_atlanticus,1,1,1,1
Megaptera_novaeangliae,0,1,0,0
Menticirrhus_martinicensis,1,0,1,0
Menticirrhus_gracilis,1,0,1,0
Menticirrhus_sp.,1,0,1,0
Merluccius_hubbsi,0,0,1,0
Micropogonias_furnieri,1,1,1,1
Micropogonias_sp.,1,1,0,0
Mitsukurina_owstoni,0,0,1,0
Mobula_birostris,0,1,1,0
Mobula_hypostoma,0,0,1,0
Mola_mola,0,0,1,0
Monacanthus_ciliatus,0,0,1,0
Monacanthus_sp.,0,0,1,0
Mugil_cephalus,0,0,1,0
Mugil_curema,0,1,1,0
Mugil_liza,1,1,1,1
Mugil_sp.,1,1,1,1
Mullus_argentinae,0,1,1,0
Mullus_sp.,0,1,0,0
Mustelus_canis,1,0,1,0
Mustelus_fasciatus,0,0,1,0
Mustelus_schmitti,0,0,1,0
Mustelus_sp.,0,0,1,0
Mycteroperca_acutirostris,1,0,1,0
Mycteroperca_bonaci,0,0,1,0
Mycteroperca_microlepis,0,0,1,0
Mycteroperca_sp.,1,0,1,0
Mycteroperca_venenosa,0,1,0,0
Myliobatis_freminvillei,1,0,0,0
Myliobatis_goodei,1,0,0,0
Myliobatis_sp.,1,0,0,0
Narcine_brasiliensis,0,1,0,0
Nebris_microps,1,0,1,0
Negaprion_brevirostris,1,0,0,0
Nemadactylus_bergi,0,0,1,0
Notarius_grandicassis ,1,0,0,0
Notorynchus_cepedianus,1,0,1,0
Ocyurus_chrysurus,1,1,1,1
Odontaspis_sp.,1,0,0,0
Odontesthes_argentinensis,0,0,1,0
Odontesthes_incisa,0,0,1,0
Odontesthes_sp.,1,0,1,0
Oligoplites_palometa,0,0,1,0
Oligoplites_saurus,1,0,1,0
Oligoplites_sp.,1,0,1,0
Ophioscion_punctatissimus,1,0,0,0
Opisthonema_oglinum,0,0,1,0
Orcinus_orca,1,0,0,0
Orthopristis_ruber ,1,0,1,0
Pagrus_pagrus,1,0,1,0
Paralichthys_brasiliensis,0,1,1,0
Paralichthys_isosceles,0,0,1,0
Paralichthys_orbignyanus,1,0,1,0
Paralichthys_sp.,1,0,1,0
Paralichthys_triocellatus,0,0,1,0
Paralonchurus_brasiliensis,1,0,1,0
Pareques_acuminatus,1,0,0,0
Parona_signata ,0,0,1,0
Pellona_harroweri,0,0,1,0
Peprilus_paru,1,0,1,0
Percophis_brasiliensis,0,0,1,0
Physeter_macrocephalus,0,1,0,0
Pinguipes_brasilianus,0,0,1,0
Pogonias_courbina,1,0,1,0
Polydactylus_oligodon,1,0,1,0
Polydactylus_virginicus,0,1,1,0
Polymixia_lowei,0,0,1,0
Polyprion_americanus,0,0,1,0
Pomacanthus_arcuatus,0,1,0,0
Pomacanthus_paru,1,1,0,0
Pomadasys_crocro,1,0,0,0
Pomadasys_sp.,1,0,0,0
Pomatomus_saltatrix,1,1,1,1
Pontoporia_blainvillei,1,0,0,0
Porichthys_porosissimus,0,1,1,0
Priacanthus_arenatus,0,1,1,0
Prionace_glauca,1,0,1,0
Prionace_sp.,1,0,0,0
Prionotus_nudigula,0,0,1,0
Prionotus_punctatus,1,0,1,0
Pristis_pectinata,0,1,0,0
Pristis_sp.,1,1,0,0
Psenes_cyanophrys,0,0,1,0
Pseudobatos_horkelii,0,0,1,0
Pseudobatos_percellens,0,0,1,0
