Species,Sambaquis,Colonial,Present,All_periods,Type,Max_size_cm,Trophic_category,Vertical_position,Habitat_zone,Habitat_use,Habitat_use,Mobility,Group_size,Max_size_class,Threatened_MMA,MMA_Red_List,Threatened_IUCN,Red_list_IUCN,Population_trend
Holocentrus_rufus,0,0,1,0,Osteichthyes,35,INV,2,SH-OFF,4,2,1,1,MEDIUM,0,NA,0,LC,Unknown
Hypanus_americanus,1,0,0,0,Chondrichthyes,200,INV,1,SH,4,2,2,1,LARGE,0,DD,0,NT,Deacreasing
Hypanus_guttatus,1,1,1,1,Chondrichthyes,200,INV,1,SH,6,3,2,1,LARGE,0,LC,0,NT,Deacreasing
Hypanus_say,0,0,1,0,Chondrichthyes,100,INV,1,SH,3,2,3,1,LARGE,0,DD,0,NT,Deacreasing
Hyperoglyphe_macrophthalma,0,0,1,0,Osteichthyes,57,MCAR,3,OFF,1,1,3,NA,LARGE,0,DD,0,NE,NA
Hyporhamphus_sp.,0,0,1,0,Osteichthyes,30,OMNI,3,SH-OFF,5,3,3,3,MEDIUM,0,NT,0,NA,NA
Hyporhamphus_unifasciatus,1,0,0,0,Osteichthyes,30,OMNI,3,SH-OFF,5,3,3,3,MEDIUM,0,NT,0,LC,Unknown
Hyporthodus_flavolimbatus,0,0,1,0,Osteichthyes,115,MCAR,1,SH-SL,2,1,2,1,LARGE,0,DD,1,VU,Deacreasing
Hyporthodus_nigritus,0,0,1,0,Osteichthyes,230,MCAR,1,SH-SL,3,2,2,1,LARGE,1,EN,0,NT,Unknown
Hyporthodus_niveatus,1,0,1,0,Osteichthyes,122,MCAR,1,SH-SL,3,2,2,1,LARGE,1,VU,1,VU,Deacreasing
Isopisthus_parvipinnis,1,0,1,0,Osteichthyes,25,MCAR,2,SH,2,1,2,3,MEDSMALL,0,LC,0,LC,Unknown
Isopisthus_sp.,1,0,0,0,Osteichthyes,25,MCAR,2,SH,2,1,2,3,MEDSMALL,0,LC,0,LC,Unknown
Istiophorus_albicans,1,1,1,1,Osteichthyes,315,MCAR,3,OFF,1,1,3,2,LARGE,0,LC,0,NE,NA
Istiophorus_platypterus,0,0,1,0,Osteichthyes,348,MCAR,3,SH-OFF,3,2,3,2,LARGE,0,NA,0,LC,Unknown
Isurus_oxyrinchus,1,0,1,0,Chondrichthyes,445,MCAR,3,SH-OFF,1,1,3,1,LARGE,0,NT,1,EN,Deacreasing
Isurus_paucus,1,0,0,0,Chondrichthyes,427,MCAR,3,OFF,1,1,3,1,LARGE,0,DD,1,EN,Deacreasing
Kajikia_albida,0,0,1,0,Osteichthyes,300,MCAR,3,OFF,1,1,3,1,LARGE,1,VU,1,VU,Deacreasing
Kajikia_audax,0,0,1,0,Osteichthyes,420,MCAR,3,OFF,1,1,3,1,LARGE,0,NA,0,NT,Deacreasing
Katsuwonus_pelamis,1,1,1,1,Osteichthyes,110,MCAR,3,OFF,1,1,3,3,LARGE,0,LC,0,LC,Stable
Kyphosus_incisor,0,0,1,0,Osteichthyes,90,HERB,3,SH,3,2,3,3,LARGE,0,NA,0,NE,NA
Kyphosus_sectatrix,1,0,0,0,Osteichthyes,76,HERB,2,SH,4,2,3,3,LARGE,0,NA,0,LC,Stable
Lactophrys_trigonus,0,1,0,0,Osteichthyes,55,INV,2,SH,5,3,2,1,LARGE,0,LC,0,LC,Unknown
Lagocephalus_laevigatus,1,1,1,1,Osteichthyes,100,INV,2,SH,4,2,3,1,LARGE,0,LC,0,LC,Unknown
Lagocephalus_sp.,0,1,0,0,Osteichthyes,100,INV,2,SH,5,3,3,1,LARGE,0,LC,0,LC,Unknown
Lamna_nasus,1,0,1,0,Chondrichthyes,350,MCAR,3,SH-OFF,1,1,3,1,LARGE,0,DD,1,VU,Deacreasing
Lampris_guttatus,0,0,1,0,Osteichthyes,200,PISC,3,OFF,1,1,3,1,LARGE,0,LC,0,LC,Unknown
Larimus_breviceps,1,0,1,0,Osteichthyes,31,INV,1,SH,2,1,2,3,MEDIUM,0,LC,0,LC,Unknown
Lepidocybium_flavobrunneum,0,0,1,0,Osteichthyes,200,MCAR,2,SH-OFF,1,1,3,3,LARGE,0,LC,0,LC,Unknown
Lobotes_surinamensis,1,1,1,1,Osteichthyes,110,INV,2,SH-OFF,4,2,2,1,LARGE,0,LC,0,LC,Stable
Lophius_gastrophysus,0,0,1,0,Osteichthyes,60,PISC,1,SH-OFF,2,1,1,1,LARGE,0,NT,0,LC,Deacreasing
Lopholatilus_villarii,0,0,1,0,Osteichthyes,107,MCAR,1,SH,2,1,2,1,LARGE,1,VU,0,NE,NA
Lutjanus_analis,1,0,1,0,Osteichthyes,94,INV,2,SH,7,4,2,2,LARGE,0,NT,0,NT,Deacreasing
Lutjanus_apodus,0,0,1,0,Osteichthyes,79.1,INV,2,SH,6,3,2,2,LARGE,0,NA,0,LC,Deacreasing
Lutjanus_cyanopterus,0,0,1,0,Osteichthyes,160,MCAR,2,SH,3,2,2,2,LARGE,1,VU,1,VU,Deacreasing
Lutjanus_griseus,1,1,0,0,Osteichthyes,89,INV,2,SH,4,2,2,2,LARGE,0,NA,0,LC,Unknown
Lutjanus_jocu,0,0,1,0,Osteichthyes,128,INV,2,SH,5,3,2,2,LARGE,0,NT,0,DD,Deacreasing
Lutjanus_purpureus,1,1,0,0,Osteichthyes,100,INV,2,SH,3,2,2,2,LARGE,1,VU,0,NE,NA
Lutjanus_sp.,1,1,1,1,Osteichthyes,160,INV,2,SH,7,4,2,2,LARGE,0,NA,0,NA,NA
Lutjanus_synagris,1,0,1,0,Osteichthyes,60,INV,2,SH,6,3,2,2,LARGE,0,NT,0,NT,Deacreasing
Lycengraulis_grossidens,0,0,1,0,Osteichthyes,23.5,PLANK,3,SH,3,2,3,3,MEDSMALL,0,LC,0,LC,Unknown
Macrodon_atricauda,1,0,1,0,Osteichthyes,45,INV,1,SH,2,1,2,3,MEDIUM,0,LC,0,LC,Deacreasing
Macrodon_sp.,1,0,1,0,Osteichthyes,46,INV,1,SH,2,1,2,3,MEDIUM,0,LC,0,LC,Deacreasing
Macruronus_novazelandiae,0,0,1,0,Osteichthyes,115,PISC,2,SL-OFF,2,1,3,3,LARGE,0,NA,0,NE,NA
Makaira_nigricans,0,0,1,0,Osteichthyes,500,MCAR,3,OFF,1,1,3,1,LARGE,1,EN,1,VU,Deacreasing
Masturus_lanceolatus,0,0,1,0,Osteichthyes,337,MCAR,3,OFF,1,1,3,1,LARGE,0,LC,0,LC,Unknown
Megalops_atlanticus,1,1,1,1,Osteichthyes,250,MCAR,3,SH,4,2,3,3,LARGE,1,VU,1,VU,Deacreasing
Megaptera_novaeangliae,0,1,0,0,Cetacea,1700,PLANK-PISC,3,SH-OFF,2,1,3,3,LARGE,0,NT,0,LC,Increasing
Menticirrhus_martinicensis,1,0,1,0,Osteichthyes,50,INV,1,SH,2,1,2,3,MEDIUM,0,DD,0,LC,Unknown
Menticirrhus_gracilis,1,0,1,0,Osteichthyes,48.3,INV,1,SH,2,1,2,3,MEDIUM,0,DD,0,LC,Unknown
Menticirrhus_sp.,1,0,1,0,Osteichthyes,50,INV,1,SH,2,1,2,3,MEDIUM,0,DD,0,LC,Unknown
Merluccius_hubbsi,0,0,1,0,Osteichthyes,95,MCAR,2,SH-OFF,1,1,2,3,LARGE,0,NT,0,NE,NA
Micropogonias_furnieri,1,1,1,1,Osteichthyes,60,INV,1,SH,2,1,2,3,LARGE,0,LC,0,LC,Deacreasing
Micropogonias_sp.,1,1,0,0,Osteichthyes,60,INV,1,SH,3,2,2,3,LARGE,0,LC,0,LC,NA
Mitsukurina_owstoni,0,0,1,0,Chondrichthyes,617,MCAR,2,SL-OFF,2,1,3,1,LARGE,0,LC,0,LC,Unknown
Mobula_birostris,0,1,1,0,Chondrichthyes,910,PLANK,3,SH-OFF,4,2,3,1,LARGE,1,VU,1,EN,Deacreasing
Mobula_hypostoma,0,0,1,0,Chondrichthyes,120,INV,3,SH-OFF,3,2,3,3,LARGE,1,VU,1,EN,Deacreasing
Mola_mola,0,0,1,0,Osteichthyes,333,MCAR,3,OFF,3,2,3,1,LARGE,0,LC,1,VU,Deacreasing
Monacanthus_ciliatus,0,0,1,0,Osteichthyes,20,OMNI,2,SH,5,3,2,1,MEDSMALL,0,LC,0,LC,Unknown
Monacanthus_sp.,0,0,1,0,Osteichthyes,20,OMNI,2,SH,5,3,2,1,MEDSMALL,0,LC,0,LC,Unknown
Mugil_cephalus,0,0,1,0,Osteichthyes,100,HERB,2,SH,2,1,2,3,LARGE,0,NA,0,LC,Stable
Mugil_curema,0,1,1,0,Osteichthyes,91,HERB,3,SH,5,3,3,3,LARGE,0,DD,0,LC,Unknown
Mugil_liza,1,1,1,1,Osteichthyes,80,HERB,3,SH,5,3,3,3,LARGE,0,NT,0,DD,Unknown
Mugil_sp.,1,1,1,1,Osteichthyes,100,HERB,3,SH,5,3,3,3,LARGE,0,NT,0,NA,NA
Mullus_argentinae,0,1,1,0,Osteichthyes,30,INV,2,SH,3,2,2,3,MEDIUM,0,LC,0,NE,NA
Mullus_sp.,0,1,0,0,Osteichthyes,30,INV,2,SH,3,2,2,3,MEDIUM,0,LC,0,NE,NA
Mustelus_canis,1,0,1,0,Chondrichthyes,150,INV,1,SH-SL,4,2,3,3,LARGE,1,EN,0,NT,Deacreasing
Mustelus_fasciatus,0,0,1,0,Chondrichthyes,150,INV,1,SH-SL,2,1,3,3,LARGE,1,CR,1,CR,Deacreasing
Mustelus_schmitti,0,0,1,0,Chondrichthyes,92,INV,1,SH,3,2,3,3,LARGE,1,CR,1,CR,Deacreasing
Mustelus_sp.,0,0,1,0,Chondrichthyes,150,INV,1,SH-SL,5,3,3,3,LARGE,0,NA,1,CR,Deacreasing
Mycteroperca_acutirostris,1,0,1,0,Osteichthyes,80,MCAR,1,SH,5,3,2,1,LARGE,0,DD,0,LC,Stable
Mycteroperca_bonaci,0,0,1,0,Osteichthyes,150,MCAR,1,SH,4,2,2,1,LARGE,1,VU,0,NT,Deacreasing
Mycteroperca_microlepis,0,0,1,0,Osteichthyes,145,MCAR,1,SH,5,3,2,1,LARGE,0,DD,1,VU,Deacreasing
Mycteroperca_sp.,1,0,1,0,Osteichthyes,150,MCAR,1,SH,7,4,2,1,LARGE,0,DD,0,NA,NA
Mycteroperca_venenosa,0,1,0,0,Osteichthyes,100,PISC,1,SH,5,3,2,1,LARGE,0,DD,0,NT,Deacreasing
Myliobatis_freminvillei,1,0,0,0,Chondrichthyes,100,INV,2,SH,2,1,3,3,LARGE,1,EN,1,VU,Deacreasing
Myliobatis_goodei,1,0,0,0,Chondrichthyes,125,INV,2,SH,3,2,3,3,LARGE,1,CR,1,VU,Deacreasing
Myliobatis_sp.,1,0,0,0,Chondrichthyes,125,INV,2,SH,4,2,3,3,LARGE,0,NA,1,VU,Deacreasing
Narcine_brasiliensis,0,1,0,0,Chondrichthyes,54,MCAR,1,SH,6,3,2,1,LARGE,0,DD,0,NT,Deacreasing
Nebris_microps,1,0,1,0,Osteichthyes,40,INV,1,SH,2,1,2,2,MEDIUM,0,LC,0,LC,Unknown
Negaprion_brevirostris,1,0,0,0,Chondrichthyes,340,MCAR,2,SH,4,2,3,1,LARGE,1,VU,1,VU,Deacreasing
Nemadactylus_bergi,0,0,1,0,Osteichthyes,39.5,INV,1,SH,1,1,2,3,MEDIUM,0,LC,0,NE,NA
Notarius_grandicassis ,1,0,0,0,Osteichthyes,63,INV,1,SH,3,2,2,3,LARGE,0,LC,0,LC,Unknown
Notorynchus_cepedianus,1,0,1,0,Chondrichthyes,300,MCAR,1,SH,4,2,3,3,LARGE,1,CR,1,VU,Deacreasing
Ocyurus_chrysurus,1,1,1,1,Osteichthyes,86.3,INV,3,SH,7,4,2,2,LARGE,0,NT,0,DD,Deacreasing
Odontaspis_sp.,1,0,0,0,Chondrichthyes,450,MCAR,2,SH-OFF,1,1,3,2,LARGE,0,DD,1,VU,Deacreasing
Odontesthes_argentinensis,0,0,1,0,Osteichthyes,42.1,PLANK,3,SH,5,3,2,3,MEDIUM,0,DD,0,NE,NA
Odontesthes_incisa,0,0,1,0,Osteichthyes,10,PLANK,1,SH,6,3,2,3,SMALL,0,LC,0,LC,Unknown
Odontesthes_sp.,1,0,1,0,Osteichthyes,42.1,PLANK,3,SH,6,3,2,3,MEDIUM,0,NA,0,NA,NA
Oligoplites_palometa,0,0,1,0,Osteichthyes,49.7,MCAR,3,SH,3,2,3,3,MEDIUM,0,LC,0,LC,Stable
Oligoplites_saurus,1,0,1,0,Osteichthyes,35,MCAR,3,SH,3,2,3,3,MEDIUM,0,LC,0,LC,Unknown
Oligoplites_sp.,1,0,1,0,Osteichthyes,49.7,MCAR,3,SH,3,2,3,3,MEDIUM,0,LC,0,LC,NA
Ophioscion_punctatissimus,1,0,0,0,Osteichthyes,25,INV,1,SH,2,1,2,3,MEDSMALL,0,DD,0,LC,Unknown
Opisthonema_oglinum,0,0,1,0,Osteichthyes,38,PLANK,3,SH,6,3,3,3,MEDIUM,0,LC,0,LC,Unknown
Orcinus_orca,1,0,0,0,Cetacea,980,MCAR,3,SH-OFF,3,2,3,2,LARGE,0,LC,0,DD,Unknown
Orthopristis_ruber ,1,0,1,0,Osteichthyes,40,INV,1,SH,6,3,2,3,MEDIUM,0,LC,0,LC,Unknown
Pagrus_pagrus,1,0,1,0,Osteichthyes,91,INV,2,SH,5,3,2,2,LARGE,0,DD,0,LC,Unknown
Paralichthys_brasiliensis,0,1,1,0,Osteichthyes,100,INV,1,SH,3,2,2,1,LARGE,0,LC,0,LC,Unknown
Paralichthys_isosceles,0,0,1,0,Osteichthyes,32,INV,1,SH,1,1,2,1,MEDIUM,0,LC,0,DD,Deacreasing
Paralichthys_orbignyanus,1,0,1,0,Osteichthyes,62.4,INV,1,SH,5,3,2,1,LARGE,0,DD,0,DD,Deacreasing
Paralichthys_sp.,1,0,1,0,Osteichthyes,62.4,INV,1,SH,5,3,2,1,LARGE,0,LC,0,DD,Deacreasing
Paralichthys_triocellatus,0,0,1,0,Osteichthyes,26.2,INV,1,SH-SL,4,2,2,1,MEDIUM,0,LC,0,LC,Unknown
Paralonchurus_brasiliensis,1,0,1,0,Osteichthyes,30,INV,1,SH,2,1,2,2,MEDIUM,0,LC,0,LC,Unknown
Pareques_acuminatus,1,0,0,0,Osteichthyes,23,INV,2,SH,5,3,1,2,MEDSMALL,0,DD,0,LC,Unknown
Parona_signata ,0,0,1,0,Osteichthyes,60,PISC,3,SH,4,2,3,NA,LARGE,0,LC,0,LC,Unknown
Pellona_harroweri,0,0,1,0,Osteichthyes,18,PLANK,1,SH,2,1,3,2,MEDSMALL,0,LC,0,LC,Unknown
Peprilus_paru,1,0,1,0,Osteichthyes,30,INV,3,SH,2,1,3,3,MEDIUM,0,LC,0,LC,Unknown
Percophis_brasiliensis,0,0,1,0,Osteichthyes,53.3,INV,1,SH,2,1,2,3,LARGE,0,LC,0,NE,NA
Physeter_macrocephalus,0,1,0,0,Cetacea,1830,PISC,3,SH-OFF,1,1,3,3,LARGE,1,VU,1,VU,Unknown
Pinguipes_brasilianus,0,0,1,0,Osteichthyes,70,INV,1,SH-SL,1,1,2,1,LARGE,0,LC,0,NE,NA
Pogonias_courbina,1,0,1,0,Osteichthyes,170,INV,2,SH,3,2,2,3,LARGE,1,EN,0,LC,Deacreasing
Polydactylus_oligodon,1,0,1,0,Osteichthyes,46,INV,2,SH,4,2,2,2,MEDIUM,0,LC,0,LC,Unknown
Polydactylus_virginicus,0,1,1,0,Osteichthyes,33,INV,2,SH,6,3,2,2,MEDIUM,0,LC,0,LC,Unknown
Polymixia_lowei,0,0,1,0,Osteichthyes,20,MCAR,1,SH-SL,4,2,2,3,MEDSMALL,0,LC,0,LC,Unknown
Polyprion_americanus,0,0,1,0,Osteichthyes,210,MCAR,2,OFF,4,2,2,2,LARGE,1,CR,0,DD,Unknown
Pomacanthus_arcuatus,0,1,0,0,Osteichthyes,60,INV,2,SH,3,2,2,2,LARGE,0,DD,0,LC,Stable
Pomacanthus_paru,1,1,0,0,Osteichthyes,41.1,INV,2,SH,4,2,2,2,MEDIUM,0,DD,0,LC,Stable
Pomadasys_crocro,1,0,0,0,Osteichthyes,38,INV,2,SH,3,2,2,3,MEDIUM,0,LC,0,DD,Unknown
Pomadasys_sp.,1,0,0,0,Osteichthyes,25,INV,2,SH,4,2,2,3,MEDSMALL,0,LC,0,DD,Unknown
Pomatomus_saltatrix,1,1,1,1,Osteichthyes,130,PISC,3,SH-OFF,6,3,3,3,LARGE,0,NT,1,VU,Deacreasing
Pontoporia_blainvillei,1,0,0,0,Cetacea,163,PISC,3,SH,2,1,3,3,LARGE,1,CR,1,VU,Deacreasing
Porichthys_porosissimus,0,1,1,0,Osteichthyes,34,INV,1,SH-SL,4,2,1,1,MEDIUM,0,LC,0,NE,NA
Priacanthus_arenatus,0,1,1,0,Osteichthyes,50,INV,2,SH,4,2,2,3,MEDIUM,0,LC,0,LC,Unknown
Prionace_glauca,1,0,1,0,Chondrichthyes,400,MCAR,3,SH-OFF,1,1,3,1,LARGE,0,NT,0,NT,Deacreasing
Prionace_sp.,1,0,0,0,Chondrichthyes,400,MCAR,3,SH-OFF,1,1,3,1,LARGE,0,NT,0,NT,Deacreasing
Prionotus_nudigula,0,0,1,0,Osteichthyes,38.1,MCAR,1,SH,2,1,2,2,MEDIUM,0,LC,0,NE,NA
Prionotus_punctatus,1,0,1,0,Osteichthyes,45,INV,1,SH,5,3,2,2,MEDIUM,0,LC,0,LC,Unknown
Pristis_pectinata,0,1,0,0,Chondrichthyes,760,MCAR,1,SH,3,2,2,1,LARGE,1,CR,1,CR,Deacreasing
Pristis_sp.,1,1,0,0,Chondrichthyes,760,MCAR,1,SH,3,2,2,1,LARGE,1,CR,1,CR,Deacreasing
Psenes_cyanophrys,0,0,1,0,Osteichthyes,23,PLANK,3,OFF,1,1,3,3,MEDSMALL,0,LC,0,LC,Unknown
Pseudobatos_horkelii,0,0,1,0,Chondrichthyes,138,INV,1,SH,5,3,2,1,LARGE,1,CR,1,CR,Deacreasing
Pseudobatos_percellens,0,0,1,0,Chondrichthyes,100,INV,1,SH,5,3,2,1,LARGE,0,DD,1,EN,Deacreasing
Pseudocarcharias_kamoharai,0,0,1,0,Chondrichthyes,110,MCAR,3,OFF,1,1,3,1,LARGE,0,DD,0,LC,Increasing
Pseudopercis_numida,0,0,1,0,Osteichthyes,120,INV,1,SH,2,1,2,1,LARGE,0,NT,0,LC,Stable
Pseudopercis_semifasciata,0,0,1,0,Osteichthyes,100,INV,1,SH,2,1,2,1,LARGE,0,DD,0,NE,NA
Pseudopercis_sp.,1,0,0,0,Osteichthyes,120,INV,1,SH,2,1,2,1,LARGE,0,NA,0,NA,NA
Pseudorca_crassidens,1,0,0,0,Cetacea,600,MCAR,3,SH-OFF,2,1,3,3,LARGE,0,LC,0,NT,Unknown
Rachycentron_canadum,0,1,1,0,Osteichthyes,200,MCAR,3,SH-OFF,5,3,3,2,LARGE,0,LC,0,LC,Unknown
Rachycentron_sp.,0,1,0,0,Osteichthyes,200,MCAR,3,SH-OFF,5,3,3,2,LARGE,0,LC,0,LC,Unknown
Remora_remora,0,1,1,0,Osteichthyes,86.4,INV,3,SH-OFF,3,2,3,1,LARGE,0,LC,0,LC,Stable
Rhinoptera_bonasus,1,0,0,0,Chondrichthyes,120,INV,2,SH-OFF,4,2,3,3,LARGE,0,DD,1,VU,Deacreasing
Rhinoptera_brasiliensis,1,0,0,0,Chondrichthyes,104,INV,2,SH-OFF,4,2,3,3,LARGE,1,CR,1,VU,Deacreasing
Rhinoptera_sp.,1,0,0,0,Chondrichthyes,120,INV,2,SH-OFF,4,2,3,2,LARGE,0,NA,1,VU,Deacreasing
Rhizoprionodon_lalandii,1,0,0,0,Chondrichthyes,80,MCAR,1,SH,3,2,3,3,LARGE,0,NT,1,VU,Deacreasing
Rhizoprionodon_porosus,1,0,0,0,Chondrichthyes,113,MCAR,1,SH-OFF,5,3,3,2,LARGE,0,DD,1,VU,Deacreasing
Rhizoprionodon_sp.,1,0,1,0,Chondrichthyes,113,MCAR,1,SH-OFF,6,3,3,3,LARGE,0,NA,1,VU,Deacreasing
Rhizoprionodon_terraenovae,0,1,0,0,Chondrichthyes,110,MCAR,1,SH-OFF,3,2,3,3,LARGE,0,NA,0,LC,Increasing
Ruvettus_pretiosus,0,0,1,0,Osteichthyes,300,MCAR,2,SH-OFF,2,1,3,1,LARGE,0,LC,0,LC,Stable
Rypticus_subbifrenatus,0,0,1,0,Osteichthyes,18,INV,1,SH,3,2,1,1,MEDSMALL,0,LC,0,LC,Unknown
Sarda_sarda,0,0,1,0,Osteichthyes,91.4,MCAR,3,SH-OFF,2,1,3,3,LARGE,0,LC,0,LC,Stable
Sardinella_aurita,0,0,1,0,Osteichthyes,41,PLANK,3,SH,2,1,3,3,MEDIUM,0,DD,0,LC,Unknown
Sardinella_brasiliensis,0,0,1,0,Osteichthyes,27,PLANK,3,SH,4,2,3,3,MEDIUM,0,DD,0,DD,Unknown
Sardinella_sp.,0,1,0,0,Osteichthyes,41,PLANK,3,SH,4,2,3,3,MEDIUM,0,DD,0,NA,Unknown
Sargocentron_sp.,1,0,0,0,Osteichthyes,13,INV,1,SH,3,2,1,3,MEDSMALL,0,LC,0,LC,Unknown
Scarus_sp.,1,1,1,1,Osteichthyes,55.6,HERB,2,SH,3,2,2,2,LARGE,0,NA,1,EN,Deacreasing
Sciades_herzbergii,0,0,1,0,Osteichthyes,94.2,INV,1,SH,2,1,2,3,LARGE,0,LC,0,LC,Unknown
Scomber_colias,0,0,1,0,Osteichthyes,55,MCAR,3,SH-OFF,3,2,3,3,LARGE,0,LC,0,LC,Unknown
Scomber_sp.,0,1,0,0,Osteichthyes,35,MCAR,3,SH-OFF,3,2,3,3,MEDIUM,0,LC,0,LC,Unknown
Scomberomorus_brasiliensis,1,1,1,1,Osteichthyes,125,PISC,3,SH-OFF,5,3,3,2,LARGE,0,LC,0,LC,Deacreasing
Scomberomorus_cavalla,0,1,1,0,Osteichthyes,184,PISC,3,SH-OFF,4,2,3,2,LARGE,0,LC,0,LC,Stable
Scomberomorus_sp.,1,1,1,1,Osteichthyes,184,PISC,3,SH-OFF,5,3,3,2,LARGE,0,LC,0,LC,NA
Scorpaena_sp.,0,0,1,0,Osteichthyes,24.04,INV,1,SH,3,2,1,1,MEDSMALL,0,LC,0,LC,Unknown
Selar_crumenophthalmus,1,0,1,0,Osteichthyes,70,PLANK,3,SH,4,2,3,3,LARGE,0,LC,0,LC,Stable
Selene_setapinnis,0,1,1,0,Osteichthyes,60,MCAR,2,SH,3,2,3,3,LARGE,0,LC,0,LC,Stable
Selene_sp.,0,1,1,0,Osteichthyes,70,MCAR,2,SH,5,3,3,3,LARGE,0,LC,0,LC,Stable
Selene_vomer,1,1,1,1,Osteichthyes,48.3,INV,3,SH,4,2,3,3,MEDIUM,0,LC,0,LC,Stable
Seriola_dumerili,1,0,1,0,Osteichthyes,190,MCAR,3,SH,5,3,3,2,LARGE,0,LC,0,LC,Unknown
Seriola_fasciata,0,0,1,0,Osteichthyes,67.5,PISC,3,SH,4,2,3,3,LARGE,0,DD,0,LC,Unknown
Seriola_lalandi,0,1,1,0,Osteichthyes,250,MCAR,3,SH-OFF,5,3,3,2,LARGE,0,LC,0,LC,Stable
Seriola_sp.,0,1,1,0,Osteichthyes,250,MCAR,3,SH-OFF,4,2,3,2,LARGE,0,LC,0,LC,Unknown
Sotalia_guianensis,1,0,0,0,Cetacea,210,PISC,3,SH,1,1,3,3,LARGE,1,VU,0,NT,Unknown
Sparisoma_sp.,1,0,0,0,Osteichthyes,43.7,HERB,2,SH,6,3,2,2,MEDIUM,0,NA,0,NA,NA
Sphoeroides_sp.,1,0,1,0,Osteichthyes,38.8,INV,2,SH,7,4,2,1,MEDIUM,0,LC,0,LC,Unknown
Sphoeroides_spengleri,1,0,0,0,Osteichthyes,30,INV,2,SH,7,4,2,1,MEDIUM,0,LC,0,LC,Unknown
Sphoeroides_testudineus,1,0,0,0,Osteichthyes,38.8,INV,2,SH,6,3,2,1,MEDIUM,0,DD,0,LC,Unknown
Sphyraena_barracuda,1,0,0,0,Osteichthyes,200,MCAR,3,SH-OFF,4,2,3,2,LARGE,0,LC,0,LC,Unknown
Sphyraena_guachancho,1,0,0,0,Osteichthyes,200,MCAR,3,SH,3,2,3,2,LARGE,0,LC,0,LC,Unknown
Sphyraena_sp.,1,1,1,1,Osteichthyes,200,MCAR,3,SH,4,2,3,2,LARGE,0,LC,0,LC,Unknown
Sphyrna_lewini,1,0,1,0,Chondrichthyes,430,MCAR,3,SH-OFF,4,2,3,2,LARGE,1,CR,1,CR,Deacreasing
Sphyrna_mokarran,1,0,0,0,Chondrichthyes,610,MCAR,3,SH-OFF,3,2,3,1,LARGE,1,EN,1,CR,Deacreasing
Sphyrna_sp.,1,1,1,1,Chondrichthyes,610,MCAR,3,SH-OFF,5,3,3,3,LARGE,0,NA,0,NA,Deacreasing
Sphyrna_tiburo,1,0,0,0,Chondrichthyes,150,MCAR,2,SH,6,3,3,2,LARGE,1,CR,1,EN,Deacreasing
Sphyrna_zygaena,1,1,1,1,Chondrichthyes,500,MCAR,3,SH-OFF,2,1,3,3,LARGE,1,CR,1,VU,Deacreasing
Squalus_sp.,0,0,1,0,Chondrichthyes,89,MCAR,1,SH-OFF,1,1,3,3,LARGE,1,CR,1,EN,Deacreasing
Squatina_sp.,1,0,1,0,Chondrichthyes,87,MCAR,1,SH,1,1,2,1,LARGE,1,CR,1,EN,Deacreasing
Stellifer_brasiliensis,1,0,0,0,Osteichthyes,17,INV,1,SH,2,1,2,2,MEDSMALL,0,LC,0,LC,Unknown
Stellifer_rastrifer,1,0,1,0,Osteichthyes,32.1,INV,1,SH,2,1,2,2,MEDIUM,0,LC,0,LC,Unknown
Stellifer_sp.,1,1,1,1,Osteichthyes,32.1,INV,1,SH,2,1,2,2,MEDIUM,0,LC,0,LC,Unknown
Stenella_frontalis,1,0,0,0,Cetacea,230,MCAR,3,SH-OFF,2,1,3,3,LARGE,0,DD,0,LC,Unknown
Stenella_sp.,1,0,0,0,Cetacea,240,PISC,3,SH-OFF,2,1,3,3,LARGE,0,DD,0,LC,Unknown
Steno_bredanensis,1,0,0,0,Cetacea,280,PISC,3,SH-OFF,2,1,3,3,LARGE,0,LC,0,LC,Unknown
Stephanolepis_hispidus,0,0,1,0,Osteichthyes,27.5,OMNI,2,SH,6,3,2,1,MEDIUM,0,LC,0,LC,Unknown
Stromateus_brasiliensis,0,0,1,0,Osteichthyes,38,PLANK,2,SH,2,1,3,3,MEDIUM,0,LC,0,NE,NA
Strongylura_sp.,1,1,1,1,Osteichthyes,66,MCAR,3,SH,6,3,3,2,LARGE,0,LC,0,LC,Unknown
Strongylura_timucu,0,1,0,0,Osteichthyes,61,PISC,3,SH,6,3,2,2,LARGE,0,LC,0,LC,Unknown
Syacium_papillosum,0,1,1,0,Osteichthyes,30,INV,1,SH,3,2,2,1,MEDIUM,0,LC,0,LC,Unknown
Symphurus_plagusia,0,0,1,0,Osteichthyes,25,INV,1,SH,2,1,1,1,MEDSMALL,0,LC,0,LC,Unknown
Sympterygia_acuta,0,0,1,0,Chondrichthyes,150,MCAR,1,SH,1,1,2,1,LARGE,1,EN,1,CR,Deacreasing
Synodus_foetens,0,0,1,0,Osteichthyes,48.3,PISC,1,SH,6,3,1,1,MEDIUM,0,LC,0,LC,Unknown
Tetrapturus_pfluegeri,0,0,1,0,Osteichthyes,254,MCAR,3,SH-OFF,1,1,3,2,LARGE,0,LC,0,LC,Stable
Thalassophryne_nattereri,0,1,0,0,Osteichthyes,14,INV,1,SH,2,1,1,1,MEDSMALL,0,LC,0,LC,Unknown
