Species,Sambaquis,Colonial,Present,All_periods,Type,Max_size_cm,Trophic_category,Vertical_position,Habitat_zone,Habitat_use,Habitat_use,Mobility,Group_size,Max_size_class,Threatened_MMA,MMA_Red_List,Threatened_IUCN,Red_list_IUCN,Population_trend
Bairdiella_sp.,0,1,0,0,Osteichthyes,34,INV,1,SH,2,1,3,2,MEDIUM,0,LC,0,NA,NA
Balaenoptera_musculus,0,1,0,0,Cetacea,3300,PLANK,3,SH-OFF,1,1,3,1,LARGE,1,CR,1,EN,Increasing
Balaenoptera_physalus,0,1,0,0,Cetacea,2700,PLANK-PISC,3,SH-OFF,1,1,3,2,LARGE,1,EN,1,VU,Increasing
Balaenoptera_sp.,1,1,0,0,Cetacea,3300,PLANK-PISC,3,SH-OFF,1,1,3,2,LARGE,1,CR-EN,0,NA,NA
Balistes_capriscus,1,1,1,1,Osteichthyes,60,INV,3,SH,6,3,3,1,LARGE,0,NT,1,VU,Deacreasing
Balistes_sp.,0,1,1,0,Osteichthyes,60,INV,2,SH,7,4,2,1,LARGE,0,NT,0,NA,NA
Balistes_vetula,1,1,1,1,Osteichthyes,60,INV,2,SH,5,3,2,1,LARGE,0,NT,0,NT,Deacreasing
Bathygobius_soporator,0,1,0,0,Osteichthyes,15,INV,1,SH,4,2,1,2,MEDSMALL,0,LC,0,LC,Unknown
Bathytoshia_centroura,1,0,0,0,Chondrichthyes,300,MCAR,1,SH-SL,2,1,2,1,LARGE,1,CR,1,VU,Deacreasing
Berardius_arnuxii,0,1,0,0,Cetacea,930,PISC,3,OFF,1,1,3,2,LARGE,0,NA,0,LC,Unknown
Bodianus_rufus,1,1,0,0,Osteichthyes,40,INV,2,SH,4,2,2,1,MEDIUM,0,LC,0,LC,Unknown
Boridia_grossidens,0,0,1,0,Osteichthyes,19.2,INV,1,SH,4,2,2,1,MEDSMALL,0,LC,0,NA,NA
Brevoortia_aurea,0,1,1,0,Osteichthyes,34.4,PLANK,3,SH,3,2,3,3,MEDIUM,0,LC,0,LC,Stable
Brevoortia_pectinata,0,0,1,0,Osteichthyes,35,PLANK,3,SH,2,1,3,3,MEDIUM,0,LC,0,LC,Stable
Brevoortia_sp.,0,1,0,0,Osteichthyes,35,PLANK,3,SH,3,2,3,3,MEDIUM,0,LC,0,NA,NA
Calamus_calamus,0,0,1,0,Osteichthyes,56,INV,2,SH,4,2,2,3,LARGE,0,DD,0,LC,Unknown
Calamus_mu,0,0,1,0,Osteichthyes,26.5,INV,2,SH,4,2,2,3,MEDIUM,0,DD,0,LC,Unknown
Calamus_penna,0,0,1,0,Osteichthyes,46,INV,2,SH,5,3,2,3,MEDIUM,0,LC,0,LC,Unknown
Calamus_pennatula,1,0,0,0,Osteichthyes,37,INV,2,SH,3,2,2,3,MEDIUM,0,LC,0,LC,Unknown
Calamus_sp.,0,0,1,0,Osteichthyes,56,INV,2,SH,5,3,2,3,LARGE,0,LC,0,NA,NA
Callorhinchus_callorynchus,0,0,1,0,Chondrichthyes,89.2,MCAR,1,SH-SL,1,1,2,1,LARGE,0,DD,1,VU,Deacreasing
Caranx_crysos,1,1,1,1,Osteichthyes,70,MCAR,3,SH-OFF,7,4,3,3,LARGE,0,LC,0,LC,Unknown
Caranx_hippos,1,1,1,1,Osteichthyes,124,MCAR,3,SH-OFF,4,2,3,3,LARGE,0,LC,0,LC,Stable
Caranx_latus,1,0,1,0,Osteichthyes,101,MCAR,3,SH-OFF,7,4,3,3,LARGE,0,LC,0,LC,Stable
Caranx_ruber,1,0,0,0,Osteichthyes,73,MCAR,3,SH-OFF,7,4,3,3,LARGE,0,LC,0,LC,Unknown
Caranx_sp.,1,1,1,1,Osteichthyes,124,MCAR,3,SH-OFF,8,4,3,3,LARGE,0,LC,0,NA,NA
